Gene	Importance
gene_3523	0.33797212690114975
gene_12013	0.12090416997671127
gene_7238	0.10915120616555214
gene_15983	0.04386896686628461
gene_5645	0.03294539842754603
gene_2037	0.032428730838000776
gene_3	0.019525484833866357
gene_11464	0.01089296881109476
gene_13200	0.00999813200905919
gene_37	0.008664567209780216
gene_2638	0.00862804874777794
gene_193	0.008482980448752642
gene_429	0.00755464043468237
gene_19373	0.0074131152592599395
gene_18	0.007292504236102104
gene_387	0.007200929149985313
gene_408	0.007200929149985313
gene_2	0.007200929149985313
gene_5667	0.006984478980302811
gene_6263	0.00636863149702549
gene_2572	0.006195055041462183
gene_318	0.0060409408062696455
gene_12018	0.006010452937334776
gene_5743	0.005530303157866001
gene_14034	0.0054112555459141735
gene_3489	0.004911551810801029
gene_6208	0.004819976724684238
gene_536	0.004790940787643194
gene_9174	0.00428030313923955
gene_6925	0.00357142873108387
gene_55	0.0035714286379516123
gene_7415	0.0035714286379516123
gene_3440	0.0030303031206130983
gene_5829	0.0027651515789330005
gene_13456	0.0027056277729570867
gene_7965	0.0027056277729570867
gene_6355	0.0027056277729570867
gene_10420	0.0027056277729570867
gene_7438	0.0025641025975346567
gene_88	0.0024695121683180332
gene_2448	0.0024695121683180332
gene_4578	0.002440476231276989
gene_8413	0.002440476231276989
gene_153	0.002440476231276989
gene_56	0.002409988362342119
gene_3921	0.002409988362342119
gene_257	0.002409988362342119
gene_8594	0.002380952425301075
gene_4235	0.002380952425301075
gene_13506	0.002380952425301075
gene_9564	0.0015151515603065492
gene_1663	0.0015151515603065492
gene_3416	0.0015151515603065492
gene_9529	0.0015151515603065492
gene_1887	0.0015151515603065492
gene_6557	0.0015151515603065492
gene_5410	0.0015151515603065492
gene_11449	0.0015151515603065492
gene_5709	0.0015151515603065492
gene_11346	0.0015151515603065492
gene_6072	0.0015151515603065492
gene_14151	0.0012820512987673283
gene_194	0.0012820512987673283
gene_0	0.0012820512987673283
gene_26	0.0012820512987673283
gene_4	0.0012820512987673283
gene_12099	0.0012820512987673283
gene_17347	0.0012820512987673283
gene_1323	0.0012820512987673283
gene_36	0.0012820512987673283
gene_61	0.0012500000186264515
gene_1	0.0012500000186264515
gene_6	0.0012500000186264515
gene_13564	0.0012500000186264515
gene_14189	0.0012500000186264515
gene_14199	0.0012500000186264515
gene_28	0.0012500000186264515
gene_13595	0.0012500000186264515
gene_3115	0.0012500000186264515
gene_13717	0.0012500000186264515
gene_100	0.0012500000186264515
gene_3400	0.0012195121496915817
gene_2936	0.0012195121496915817
gene_2083	0.0012195121496915817
gene_15907	0.0012195121496915817
gene_512	0.0012195121496915817
gene_7153	0.0012195121496915817
gene_1566	0.0012195121496915817
gene_94	0.0012195121496915817
gene_281	0.0012195121496915817
gene_8596	0.0012195121496915817
